"louvain";"two mode";"id";"text"
"0";"column";"1244";"5e237008000ad41435cddb4e_Wer-ist-der-Richtige"
"3";"column";"1245";"5e23b4c800009dc0fd38422_Familienausflug-mit-Hindernissen"
"0";"column";"1246";"5e244bfe000620b21757b07c_Heisse-Schokolade-Drarry"
"8";"column";"1247";"5e245dce000b29fa10c8f2c8_BIG-MUGGEL-IS-WATCHING-YOU"
"5";"column";"1248";"5e24bbc600072a1d23f7943f_The-Search-for-Completeness"
"8";"column";"1249";"5e2582d10008d7253574ea0d_Kein-Blick-zurueck"
"1";"column";"125";"52eea13a00012da92f6815ca_The-Life-and-Times-uebersetzt"
"1";"column";"1250";"5e25adcb000863cc2e58046b_Von-Freundschaft"
"5";"column";"1252";"5e275f32000209571fc69e3d_From-dusk-till-dawn"
"3";"column";"1253";"5e285f79000b98ad360e8aef_SALVATION"
"3";"column";"1254";"5e28c2bd000b47f4fa7cff8-Januar-Mein-bester-Feind-by-LeijJey"
"3";"column";"1255";"5e2919ae0009c7b1ab45c03_Ich-will-dich-nicht-auch-noch-begraben"
"4";"column";"1256";"5e2997cd0002fa4a3b58219d_Das-Date"
"4";"column";"1257";"5e299b1f0002fa4a370c1a48_Liebe"
"5";"column";"1258";"5e29a48c000abf0b34c3cd6c_Von-den-Rosiers"
"5";"row";"1259";"Druella Black"
"0";"column";"126";"52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"5";"row";"1260";"Felix Rosier"
"8";"column";"1261";"5e29ae0a0009a951374afb74_Eine-Freundin-fehlt"
"2";"column";"1262";"5e29f1ed000ae1a912575ce3_Letters"
"4";"column";"1263";"5e2a9de70009bfa111cf39d4_12-Momente-im-Leben-des-Severus-Snape"
"6";"column";"1264";"5e2ad30600011f9c2b6aedea_Im-Leben-eines-Weasleys"
"6";"row";"1265";"Molly Weasley"
"1";"column";"1266";"5e2af0e4000b4a58278fa1ba_Ein-anderes-Leben"
"0";"column";"1267";"5e2af94f000b9a43a9f93da_Jetzt-werden-wir-endlich-zusammen-sein"
"3";"column";"1268";"5e2b51eb0007c84c16673d14_Einfach-nur-so--Eine-Vielsafttrank-Geschichte"
"0";"column";"1269";"5e2b5f5b000ad6872a9a1a2c_Wo-bist-du-gewesen"
"2";"column";"127";"5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"3";"column";"1270";"5e2b61880007c84c1368ec1d_Rache-ist-suess--Eine-Vielsafttrank-Geschichte"
"4";"column";"1271";"5e2b73170003d77994614b0_WDUR-Zwei-Seiten--eine-Medaille"
"3";"column";"1274";"5e2cbafe000219cefee2845_Zahnfeentraeume"
"0";"column";"1275";"5e2cd6a4000a9b531dae9bfa_Reluctant-Colobrum"
"4";"column";"1276";"5e2d49bc0009c7b13a3d0d15_The-same-Procedure-as-every-Year-Severus"
"4";"column";"1279";"5e2dea5e0008d78b33d1c31e_Ich-muss-dich-vergessen"
"0";"column";"128";"53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"4";"column";"1280";"5e2e0c41000129a6170cc068_Es-reicht-noch-lange-nicht"
"8";"column";"1281";"5e2e143d0009983e27c23707_Dumbledores-Armee-und-das-Jahr-der-Dunkelheit"
"0";"column";"1282";"5e2f4eb10000c78114a2ca20_Durch-die-Augen-eines-Kindes"
"0";"column";"1283";"5e3030080005ed6a2ceb04f8_Your-Final-Chance--Dramione"
"7";"column";"1284";"5e3035f500094306291f3bee_Breaking-the-habit"
"0";"column";"1285";"5e3046a7000b9d6dd303e64_Vertraue-mir"
